restaurant_name,restaurant_ID,restaurant_address,restaurant_tag,rating,price,review_number,unique_reviewer,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,restaurant_neighborhood,GIS_ID,CT_ID_10,lat,lon
Terra Cuisine,3136,"35 Westgate Rd,Boston, MA 02467,","Caterers,American (New),",5,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chestnut Hill,2007011200,25025130100,42.2999306,-71.1693598
The Breakfast Spot,3178,"651 Warren St,Boston, MA 02121,","Breakfast & Brunch,",5,NA,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dorchester,1202544001,25025082100,42.3097853,-71.0856109
The Center Cafe,3193,"850 Harrison Ave,Boston Medical Center,Boston, MA 02128,","Cafeteria,",5,$ ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,801420000,25025071101,42.3353026,-71.0772727
The Spaht,3301,"155 Southampton St,Boston, MA 02121,","Food Trucks,Chicken Wings,Caterers,",5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorchester,801021004,25025080100,42.331364,-71.0698852
Tony's Market,3354,"4381 Washington St,Roslindale, MA 02131,","Grocery,Delis,Butcher,",5,$$ ,49,49,1,0,0,0,2,1,1,1,1,1,1,2,0,0,4,0,Roslindale,2000408000,25025110502,42.2821695,-71.1355666
Zia Gianna,3606,"1735-1741 Dorchester Ave,Boston, MA 02124,","Coffee & Tea,Italian,Bakeries,",5,$$ ,69,68,1,0,0,4,2,2,2,0,2,2,1,0,0,0,0,0,Dorchester Center,1601327000,25025100500,42.2909755,-71.0656444
Boston Baddest Burger,422,"Stuart And Trinity,Boston, MA 02116,","Burgers,Sandwiches,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,401087000,25025010600,42.3485877,-71.0779624
Deria Express Cafe,980,"1121 Harrison Ave,Boston, MA 02119,","Somali,",5,NA,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roxbury,802472000,25025080401,42.3306525,-71.0842954
Fruit/Vegetable Cart Stand,1271,"Summer St & Federal St,Boston, MA 02111,","Food Stands,",5,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,304199000,25025070101,42.3537055,-71.0605991
Murl's Kitchen,2101,"143 Washington St,Dorchester Center,Boston, MA 02121,","Caribbean,",5,NA,11,11,0,0,1,1,0,0,1,0,1,1,4,0,2,0,1,2,Dorchester,1401053000,25025090100,42.3044591,-71.0822411
Tianjin Bun House,3329,"1095 Commonwealth Ave,Boston, MA 02215,","Chinese,",5,NA,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Boston,2100477000,25025000802,42.3525888,-71.1280258
Top Griyo Restaurant,3357,"984 Blue Hill Ave,Dorchester Center, MA 02124,","Restaurants,",5,NA,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorchester Center,1403132001,25025100100,42.2902487,-71.0916842
Uri's Bakery,3434,"Vfw Pkwy,West Roxbury, MA 02132,","Bakeries,Kosher,",5,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Roxbury,2004130000,25025130100,42.2829294,-71.1741866
