,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
365,Teni East Kitchen,"4015 Broadway, Oakland, 94611, United States",94611,Oakland,25.0,25.0,USD,Burmese,-122.25663,37.8278,-947,https://guide.michelin.com/en/california/oakland/restaurant/teni-east-kitchen,https://www.tenieastkitchen.com/,Bib Gourmand,25.0,CA,California,West,Burmese
366,Teni East Kitchen,"4015 Broadway, Oakland, 94611, United States",94611,Oakland,25.0,25.0,USD,Burmese,-122.25663,37.8278,-947,https://guide.michelin.com/en/california/oakland/restaurant/teni-east-kitchen,https://www.tenieastkitchen.com/,Bib Gourmand,25.0,CA,California,West,Burmese
523,Rangoon,"500 Prospect Pl., New York, 11238, United States",11238,New York,45.0,45.0,USD,Burmese,-73.9600392,40.6757788,1375,https://guide.michelin.com/en/new-york-state/new-york/restaurant/rangoon,http://www.rangoon.nyc,Bib Gourmand,45.0,NY,New York,Northeast,Burmese
524,Rangoon,"500 Prospect Pl., New York, 11238, United States",11238,New York,45.0,45.0,USD,Burmese,-73.9600392,40.6757788,1375,https://guide.michelin.com/en/new-york-state/new-york/restaurant/rangoon,http://www.rangoon.nyc,Bib Gourmand,45.0,NY,New York,Northeast,Burmese
