,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
276,Orchard City Kitchen,"1875 S. Bascom Ave., Ste.190, Campbell, 95008, United States",95008,Campbell,50.0,50.0,USD,"International, Fusion",-121.93434,37.28828,-4217,https://guide.michelin.com/en/california/campbell/restaurant/orchard-city-kitchen,https://www.orchardcitykitchen.com/,Bib Gourmand,50.0,CA,California,West,International
277,Orchard City Kitchen,"1875 S. Bascom Ave., Ste.190, Campbell, 95008, United States",95008,Campbell,50.0,50.0,USD,"International, Fusion",-121.93434,37.28828,-4217,https://guide.michelin.com/en/california/campbell/restaurant/orchard-city-kitchen,https://www.orchardcitykitchen.com/,Bib Gourmand,50.0,CA,California,West,International
347,Manhattan Beach Post,"1142 Manhattan Ave., Manhattan Beach, 90266, United States",90266,Manhattan Beach,50.0,50.0,USD,International,-118.410934,33.885162,-4640,https://guide.michelin.com/en/california/manhattan-beach/restaurant/manhattan-beach-post,,Bib Gourmand,50.0,CA,California,West,International
712,Proxi,"565 W. Randolph St., Chicago, 60661, United States",60661,Chicago,50.0,65.0,USD,"International, Asian",-87.6426342,41.8843969,-1104,https://guide.michelin.com/en/illinois/chicago/restaurant/proxi,https://www.proxichicago.com/,Bib Gourmand,57.5,IL,Illinois,Midwest,International
758,Chloe,"1331 4th St. SE, Washington, 20003, United States",20003,Washington,36.0,69.0,USD,"International, American",-77.000694,38.874672,-6118,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/chloe,https://www.restaurantchloe.com/,Bib Gourmand,52.5,DC,District of Columbia,South,International
