,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
416,Father’s Office,"3229 Helms Ave., Los Angeles, 90034, United States",90034,Los Angeles,50.0,50.0,USD,Gastropub,-118.38468,34.03052,-1650,https://guide.michelin.com/en/california/us-los-angeles/restaurant/father%E2%80%99s-office,https://www.fathersoffice.com/,Bib Gourmand,50.0,CA,California,West,Gastropub
707,Pleasant House Pub,"2119 S. Halstead Ave., Chicago, 60608, United States",60608,Chicago,40.0,40.0,USD,"Gastropub, English",-87.6464616,41.8535715,-6187,https://guide.michelin.com/en/illinois/chicago/restaurant/pleasant-house-pub,https://www.pleasanthousepub.com/,Bib Gourmand,40.0,IL,Illinois,Midwest,Gastropub
719,Funkenhausen,"1709 W. Chicago Ave., Chicago, 60622, United States",60622,Chicago,50.0,58.0,USD,"Gastropub, Bavarian",-87.6701775,41.896091,-4344,https://guide.michelin.com/en/illinois/chicago/restaurant/funkenhausen,https://www.funkenhausen.com/,Bib Gourmand,54.0,IL,Illinois,Midwest,Gastropub
733,The Duck Inn,"2701 S. Eleanor St., Chicago, 60608, United States",60608,Chicago,50.0,85.0,USD,"Gastropub, American Contemporary",-87.6601691,41.8446456,-8223,https://guide.michelin.com/en/illinois/chicago/restaurant/the-duck-inn,https://www.theduckinnchicago.com/,Bib Gourmand,67.5,IL,Illinois,Midwest,Gastropub
737,Longman & Eagle,"2657 N. Kedzie Ave., Chicago, 60647, United States",60647,Chicago,30.0,50.0,USD,Gastropub,-87.7071651,41.9301163,-5613,https://guide.michelin.com/en/illinois/chicago/restaurant/longman-eagle,https://www.longmanandeagle.com/,Bib Gourmand,40.0,IL,Illinois,Midwest,Gastropub
748,Gilt Bar,"230 W. Kinzie St., Chicago, 60654, United States",60654,Chicago,50.0,50.0,USD,Gastropub,-87.6352819,41.889297,-8696,https://guide.michelin.com/en/illinois/chicago/restaurant/gilt-bar,http://www.giltbarchicago.com/,Bib Gourmand,50.0,IL,Illinois,Midwest,Gastropub
