,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
396,Meals by Genet,"1053 S. Fairfax Ave., Los Angeles, 90019, United States",90019,Los Angeles,50.0,50.0,USD,Ethiopian,-118.3646751,34.0567097,-8919,https://guide.michelin.com/en/california/us-los-angeles/restaurant/meals-by-genet,https://www.mealsbygenetla.com/,Bib Gourmand,50.0,CA,California,West,Ethiopian
764,Chercher,"1334 9th St. NW, Washington, 20001, United States",20001,Washington,25.0,50.0,USD,"Ethiopian, Regional Cuisine",-77.0241406,38.9082104,-8800,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/chercher,https://www.chercherrestaurant.com/,Bib Gourmand,37.5,DC,District of Columbia,South,Ethiopian
767,Das,"1201 28th St. NW, Washington, 20007, United States",20007,Washington,25.0,50.0,USD,"Ethiopian, Regional Cuisine",-77.056946,38.905346,-3841,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/das,https://www.dasethiopian.com/,Bib Gourmand,37.5,DC,District of Columbia,South,Ethiopian
776,Zenebech,"2420 18th St. NW, Washington, 20009, United States",20009,Washington,30.0,44.0,USD,"Ethiopian, Regional Cuisine",-77.0424732,38.9213438,-4165,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/zenebech,https://www.zenebechdc.com/,Bib Gourmand,37.0,DC,District of Columbia,South,Ethiopian
