,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
163,Wallsé,"344 W. 11th St., New York, 10014, United States",10014,New York,150.0,150.0,USD,"Austrian, Contemporary",-74.0081949,40.7354574,-1440,https://guide.michelin.com/en/new-york-state/new-york/restaurant/wallse,https://www.wallse.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Austrian
164,Wallsé,"344 W. 11th St., New York, 10014, United States",10014,New York,150.0,150.0,USD,"Austrian, Contemporary",-74.0081949,40.7354574,-1440,https://guide.michelin.com/en/new-york-state/new-york/restaurant/wallse,https://www.wallse.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Austrian
744,"Table, Donkey and Stick","2728 W. Armitage Ave., Chicago, 60647, United States",60647,Chicago,55.0,55.0,USD,Austrian,-87.696,41.91759,-7238,https://guide.michelin.com/en/illinois/chicago/restaurant/table-donkey-and-stick,https://www.tabledonkeystick.com/,Bib Gourmand,55.0,IL,Illinois,Midwest,Austrian
