,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
100,CUT,"9500 Wilshire Blvd., Beverly Hills, 90212, United States",90212,Beverly Hills,250.0,250.0,USD,"Steakhouse, American",-118.401024,34.067036,-7466,https://guide.michelin.com/en/california/beverly-hills/restaurant/cut-559418,https://www.wolfgangpuck.com/,1 MICHELIN Star,250.0,CA,California,West,Steakhouse
127,Niku Steakhouse,"61 Division St., San Francisco, 94103, United States",94103,San Francisco,402.0,402.0,USD,Steakhouse,-122.4036208,37.7697497,-7231,https://guide.michelin.com/en/california/san-francisco/restaurant/niku-steakhouse,http://www.nikusteakhouse.com,1 MICHELIN Star,402.0,CA,California,West,Steakhouse
161,Peter Luger,"178 Broadway, New York, 11211, United States",11211,New York,150.0,150.0,USD,"Steakhouse, American",-73.9625494,40.709889,-6069,https://guide.michelin.com/en/new-york-state/new-york/restaurant/peter-luger,https://www.peterluger.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Steakhouse
162,Peter Luger,"178 Broadway, New York, 11211, United States",11211,New York,150.0,150.0,USD,"Steakhouse, American",-73.9625494,40.709889,-6069,https://guide.michelin.com/en/new-york-state/new-york/restaurant/peter-luger,https://www.peterluger.com/,1 MICHELIN Star,150.0,NY,New York,Northeast,Steakhouse
