,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
40,Ko,"8 Extra Pl., New York, 10003, United States",10003,New York,225.0,225.0,USD,Contemporary,-73.9916056,40.7246476,-119,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ko,https://www.momofuku.com/,2 MICHELIN Stars,225.0,NY,New York,Northeast,Contemporary
43,Atera,"77 Worth St., New York, 10013, United States",10013,New York,285.0,285.0,USD,Contemporary,-74.0055912,40.7168498,-458,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atera,http://www.ateranyc.com/,2 MICHELIN Stars,285.0,NY,New York,Northeast,Contemporary
44,Atera,"77 Worth St., New York, 10013, United States",10013,New York,285.0,285.0,USD,Contemporary,-74.0055912,40.7168498,-458,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atera,http://www.ateranyc.com/,2 MICHELIN Stars,285.0,NY,New York,Northeast,Contemporary
45,Jean-Georges,"1 Central Park West, New York, 10023, United States",10023,New York,148.0,248.0,USD,"Contemporary, French Contemporary",-73.98155,40.76907,-2987,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jean-georges,https://www.jean-georgesrestaurant.com/,2 MICHELIN Stars,198.0,NY,New York,Northeast,Contemporary
46,Jean-Georges,"1 Central Park West, New York, 10023, United States",10023,New York,148.0,248.0,USD,"Contemporary, French Contemporary",-73.98155,40.76907,-2987,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jean-georges,https://www.jean-georgesrestaurant.com/,2 MICHELIN Stars,198.0,NY,New York,Northeast,Contemporary
47,Blanca,"261 Moore St., New York, 11206, United States",11206,New York,198.0,198.0,USD,Contemporary,-73.9336873,40.7049906,-2259,https://guide.michelin.com/en/new-york-state/new-york/restaurant/blanca,https://www.blancanyc.com/,2 MICHELIN Stars,198.0,NY,New York,Northeast,Contemporary
48,Blanca,"261 Moore St., New York, 11206, United States",11206,New York,198.0,198.0,USD,Contemporary,-73.9336873,40.7049906,-2259,https://guide.michelin.com/en/new-york-state/new-york/restaurant/blanca,https://www.blancanyc.com/,2 MICHELIN Stars,198.0,NY,New York,Northeast,Contemporary
51,Gabriel Kreuther,"41 W. 42nd St., New York, 10036, United States",10036,New York,90.0,245.0,USD,"Contemporary, Alsatian",-73.982025,40.75397,-4871,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gabriel-kreuther,https://www.gknyc.com/,2 MICHELIN Stars,167.5,NY,New York,Northeast,Contemporary
52,Gabriel Kreuther,"41 W. 42nd St., New York, 10036, United States",10036,New York,90.0,245.0,USD,"Contemporary, Alsatian",-73.982025,40.75397,-4871,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gabriel-kreuther,https://www.gknyc.com/,2 MICHELIN Stars,167.5,NY,New York,Northeast,Contemporary
61,Oriole,"661 W. Walnut St., Chicago, 60661, United States",60661,Chicago,285.0,285.0,USD,"Contemporary, American Contemporary",-87.64513,41.886196,-4904,https://guide.michelin.com/en/illinois/chicago/restaurant/oriole,https://www.oriolechicago.com/,2 MICHELIN Stars,285.0,IL,Illinois,Midwest,Contemporary
62,Smyth,"177 N. Ada St., Chicago, 60607, United States",60607,Chicago,265.0,265.0,USD,"Contemporary, Modern Cuisine",-87.6609432,41.8850391,-2913,https://guide.michelin.com/en/illinois/chicago/restaurant/smyth,https://www.smythandtheloyalist.com/,2 MICHELIN Stars,265.0,IL,Illinois,Midwest,Contemporary
63,Ever,"1340 W. Fulton Market, Chicago, 60607, United States",60607,Chicago,285.0,285.0,USD,"Contemporary, Modern Cuisine",-87.6595739,41.8867166,https://www.ever-restaurant.com/,https://guide.michelin.com/en/illinois/chicago/restaurant/ever,https://www.ever-restaurant.com/,2 MICHELIN Stars,285.0,IL,Illinois,Midwest,Contemporary
64,Moody Tongue,"2515 S. Wabash Ave., Chicago, 60616, United States",60616,Chicago,285.0,330.0,USD,"Contemporary, American Contemporary",-87.6252282,41.8469648,-4399,https://guide.michelin.com/en/illinois/chicago/restaurant/moody-tongue,https://www.moodytongue.com/,2 MICHELIN Stars,307.5,IL,Illinois,Midwest,Contemporary
65,Jônt,"1906 14th St. NW, Washington, 20009, United States",20009,Washington,305.0,305.0,USD,Contemporary,-77.0321498,38.9158847,-7242,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/jont,https://www.jontdc.com/,2 MICHELIN Stars,305.0,DC,District of Columbia,South,Contemporary
66,Pineapple and Pearls,"715 8th St. SE, Washington, 20003, United States",20003,Washington,150.0,325.0,USD,Contemporary,-76.99514,38.880707,-6768,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/pineapple-and-pearls,https://www.pineappleandpearls.com/,2 MICHELIN Stars,237.5,DC,District of Columbia,South,Contemporary
67,minibar,"855 E St. NW, Washington, 20004, United States",20004,Washington,295.0,295.0,USD,Contemporary,-77.02386,38.896294,-3,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/minibar,https://www.minibarbyjoseandres.com/,2 MICHELIN Stars,295.0,DC,District of Columbia,South,Contemporary
71,The Village Pub,"2967 Woodside Rd., Woodside, 94062, United States",94062,Woodside,45.0,89.0,USD,"Contemporary, American Contemporary",-122.25178,37.42897,-9089,https://guide.michelin.com/en/california/woodside/restaurant/the-village-pub,https://www.thevillagepub.net/,1 MICHELIN Star,67.0,CA,California,West,Contemporary
72,The Village Pub,"2967 Woodside Rd., Woodside, 94062, United States",94062,Woodside,45.0,89.0,USD,"Contemporary, American Contemporary",-122.25178,37.42897,-9089,https://guide.michelin.com/en/california/woodside/restaurant/the-village-pub,https://www.thevillagepub.net/,1 MICHELIN Star,67.0,CA,California,West,Contemporary
73,The Village Pub,"2967 Woodside Rd., Woodside, 94062, United States",94062,Woodside,45.0,89.0,USD,"Contemporary, American Contemporary",-122.25178,37.42897,-9089,https://guide.michelin.com/en/california/woodside/restaurant/the-village-pub,https://www.thevillagepub.net/,1 MICHELIN Star,67.0,CA,California,West,Contemporary
74,Pasta | Bar,"16101 Ventura Blvd., Ste.250, Encino, 91436, United States",16101,Encino,165.0,165.0,USD,"Contemporary, American",-118.483862,34.1567212,-4913,https://guide.michelin.com/en/california/encino/restaurant/pasta-bar,https://www.pastabarencino.com/,1 MICHELIN Star,165.0,PA,Pennsylvania,Northeast,Contemporary
78,La Toque,"1314 McKinstry St., Napa, 94559, United States",94559,Napa,95.0,225.0,USD,Contemporary,-122.28349,38.30351,-3707,https://guide.michelin.com/en/california/napa/restaurant/la-toque,https://www.latoque.com/,1 MICHELIN Star,160.0,CA,California,West,Contemporary
82,Chez TJ,"938 Villa St., Mountain View, 94041, United States",94041,Mountain View,225.0,225.0,USD,"Contemporary, American",-122.08044,37.39468,-6780,https://guide.michelin.com/en/california/mountain-view/restaurant/chez-tj,https://www.cheztj.com/,1 MICHELIN Star,225.0,CA,California,West,Contemporary
86,Six Test Kitchen,"3075 Blue Rock Rd., Paso Robles, 93446, United States",93446,Paso Robles,155.0,185.0,USD,Contemporary,-120.6898229,35.5757084,sixtestkitchen.com,https://guide.michelin.com/en/california/paso-robles/restaurant/six-test-kitchen,http://sixtestkitchen.com,1 MICHELIN Star,170.0,CA,California,West,Contemporary
87,Six Test Kitchen,"3075 Blue Rock Rd., Paso Robles, 93446, United States",93446,Paso Robles,155.0,185.0,USD,Contemporary,-120.6898229,35.5757084,sixtestkitchen.com,https://guide.michelin.com/en/california/paso-robles/restaurant/six-test-kitchen,http://sixtestkitchen.com,1 MICHELIN Star,170.0,CA,California,West,Contemporary
88,Madcap,"198 Sir Francis Drake Blvd., San Anselmo, 94960, United States",94960,San Anselmo,110.0,110.0,USD,"Contemporary, Japanese Contemporary",-122.56168,37.974712,-8936,https://guide.michelin.com/en/california/san-anselmo/restaurant/madcap,https://www.madcapmarin.com/,1 MICHELIN Star,110.0,CA,California,West,Contemporary
99,Maude,"212 S. Beverly Dr., Beverly Hills, 90212, United States",90212,Beverly Hills,150.0,150.0,USD,"Contemporary, European Contemporary",-118.39904,34.064346,-2967,https://guide.michelin.com/en/california/beverly-hills/restaurant/maude,https://www.mauderestaurant.com/,1 MICHELIN Star,150.0,CA,California,West,Contemporary
107,Aubergine,"Monte Verde at 7th Ave., Carmel-by-the-Sea, 93921, United States",93921,Carmel-by-the-Sea,205.0,205.0,USD,"Contemporary, Californian",-121.924355,36.55406,-7371,https://guide.michelin.com/en/california/carmel-by-the-sea/restaurant/aubergine,https://www.auberginecarmel.com/,1 MICHELIN Star,205.0,CA,California,West,Contemporary
108,Madera,"2825 Sand Hill Rd., Menlo Park, 94025, United States",94025,Menlo Park,78.0,129.0,USD,Contemporary,-122.21151,37.42014,-451,https://guide.michelin.com/en/california/menlo-park/restaurant/madera,https://www.maderasandhill.com/,1 MICHELIN Star,103.5,CA,California,West,Contemporary
109,Madera,"2825 Sand Hill Rd., Menlo Park, 94025, United States",94025,Menlo Park,78.0,129.0,USD,Contemporary,-122.21151,37.42014,-451,https://guide.michelin.com/en/california/menlo-park/restaurant/madera,https://www.maderasandhill.com/,1 MICHELIN Star,103.5,CA,California,West,Contemporary
110,Orsa & Winston,"122 W. 4th St., Los Angeles, 90013, United States",90013,Los Angeles,125.0,125.0,USD,"Contemporary, Asian",-118.2479493,34.0484698,226,https://guide.michelin.com/en/california/us-los-angeles/restaurant/orsa-winston,https://www.orsaandwinston.com/,1 MICHELIN Star,125.0,CA,California,West,Contemporary
120,Sons & Daughters,"708 Bush St., San Francisco, 94108, United States",94108,San Francisco,225.0,225.0,USD,Contemporary,-122.4091443,37.7902661,-7287,https://guide.michelin.com/en/california/san-francisco/restaurant/sons-daughters,https://www.sonsanddaughterssf.com/,1 MICHELIN Star,225.0,CA,California,West,Contemporary
130,Angler SF,"132 The Embarcadero, San Francisco, 94105, United States",94105,San Francisco,600.0,600.0,USD,"Contemporary, Seafood",-122.39213,37.793167,-8899,https://guide.michelin.com/en/california/san-francisco/restaurant/angler-sf,https://www.anglerrestaurants.com/,1 MICHELIN Star,600.0,CA,California,West,Contemporary
132,Gary Danko,"800 North Point St., San Francisco, 94109, United States",94109,San Francisco,95.0,139.0,USD,Contemporary,-122.4206863,37.8058115,-1394,https://guide.michelin.com/en/california/san-francisco/restaurant/gary-danko,https://www.garydanko.com/,1 MICHELIN Star,117.0,CA,California,West,Contemporary
134,Avery,"1552 Fillmore St., San Francisco, 94115, United States",94115,San Francisco,89.0,189.0,USD,"Contemporary, Creative",-122.43278,37.783783,-589,https://guide.michelin.com/en/california/san-francisco/restaurant/avery,https://www.averysf.com/,1 MICHELIN Star,139.0,CA,California,West,Contemporary
139,The Kitchen,"2225 Hurley Way, Ste. 101, Sacramento, 95825, United States",95825,Sacramento,155.0,155.0,USD,"Contemporary, Californian",-121.414234,38.5890509,-5823,https://guide.michelin.com/en/california/us-sacramento/restaurant/the-kitchen-559371,https://www.thekitchenrestaurant.com/,1 MICHELIN Star,155.0,CA,California,West,Contemporary
140,The Kitchen,"2225 Hurley Way, Ste. 101, Sacramento, 95825, United States",95825,Sacramento,155.0,155.0,USD,"Contemporary, Californian",-121.414234,38.5890509,-5823,https://guide.michelin.com/en/california/us-sacramento/restaurant/the-kitchen-559371,https://www.thekitchenrestaurant.com/,1 MICHELIN Star,155.0,CA,California,West,Contemporary
142,Knife Pleat,"3333 S. Bristol St., Ste. 3001, Costa Mesa, 92626, United States",92626,Costa Mesa,80.0,135.0,USD,"Contemporary, Modern French",-117.8856979,33.6904299,-1940,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/knife-pleat,https://www.knifepleat.com/,1 MICHELIN Star,107.5,CA,California,West,Contemporary
