,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
614,Gregory’s 26 Corner Taverna,"26-02 23rd Ave., New York, 11105, United States",11105,New York,50.0,50.0,USD,Greek,-73.915939,40.7764686,-4570,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gregory-s-26-corner-taverna,,Bib Gourmand,50.0,NY,New York,Northeast,Greek
615,Gregory’s 26 Corner Taverna,"26-02 23rd Ave., New York, 11105, United States",11105,New York,50.0,50.0,USD,Greek,-73.915939,40.7764686,-4570,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gregory-s-26-corner-taverna,,Bib Gourmand,50.0,NY,New York,Northeast,Greek
705,Avlí Taverna,"1335 W. Wrightwood Ave., Chicago, 60614, United States",60614,Chicago,22.0,50.0,USD,"Greek, Regional Cuisine",-87.6623106,41.9287989,-4661,https://guide.michelin.com/en/illinois/chicago/restaurant/avli-taverna,https://www.avli.us/,Bib Gourmand,36.0,IL,Illinois,Midwest,Greek
