,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
430,1601 Bar & Kitchen,"1601 Howard St., San Francisco, 94103, United States",94103,San Francisco,58.0,110.0,USD,"Sri Lankan, Contemporary",-122.4169036,37.7716945,-738,https://guide.michelin.com/en/california/san-francisco/restaurant/1601-bar-kitchen,,Bib Gourmand,84.0,CA,California,West,Sri Lankan
511,Sagara,"98 Victory Blvd., New York, 10301, United States",10301,New York,25.0,35.0,USD,Sri Lankan,-74.0797638,40.6378423,-3123,https://guide.michelin.com/en/new-york-state/new-york/restaurant/sagara,,Bib Gourmand,30.0,NY,New York,Northeast,Sri Lankan
512,Sagara,"98 Victory Blvd., New York, 10301, United States",10301,New York,25.0,35.0,USD,Sri Lankan,-74.0797638,40.6378423,-3123,https://guide.michelin.com/en/new-york-state/new-york/restaurant/sagara,,Bib Gourmand,30.0,NY,New York,Northeast,Sri Lankan
