,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
471,Turkish Kitchen,"386 Third Ave., New York, 10016, United States",10016,New York,30.0,50.0,USD,"Turkish, Regional Cuisine",-73.98119,40.74183,-6100,https://guide.michelin.com/en/new-york-state/new-york/restaurant/turkish-kitchen,https://www.turkishkitchen.com/,Bib Gourmand,40.0,NY,New York,Northeast,Turkish
472,Turkish Kitchen,"386 Third Ave., New York, 10016, United States",10016,New York,30.0,50.0,USD,"Turkish, Regional Cuisine",-73.98119,40.74183,-6100,https://guide.michelin.com/en/new-york-state/new-york/restaurant/turkish-kitchen,https://www.turkishkitchen.com/,Bib Gourmand,40.0,NY,New York,Northeast,Turkish
500,Sip Sak,"928 Second Ave., New York, 10017, United States",10017,New York,70.0,70.0,USD,"Turkish, Regional Cuisine",-73.96853,40.75448,-1271,https://guide.michelin.com/en/new-york-state/new-york/restaurant/sip-sak,,Bib Gourmand,70.0,NY,New York,Northeast,Turkish
501,Sip Sak,"928 Second Ave., New York, 10017, United States",10017,New York,70.0,70.0,USD,"Turkish, Regional Cuisine",-73.96853,40.75448,-1271,https://guide.michelin.com/en/new-york-state/new-york/restaurant/sip-sak,,Bib Gourmand,70.0,NY,New York,Northeast,Turkish
780,Ottoman Taverna,"425 I St. NW, Washington, 20001, United States",20001,Washington,50.0,50.0,USD,Turkish,-77.01634,38.901665,-34,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/ottoman-taverna,https://www.ottomantaverna.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Turkish
