,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
53,Aska,"47 S. 5th St., New York, 11249, United States",11249,New York,295.0,295.0,USD,"Scandinavian, Contemporary",-73.9669769,40.7125069,-5200,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aska,https://www.askanyc.com/,2 MICHELIN Stars,295.0,NY,New York,Northeast,Scandinavian
54,Aska,"47 S. 5th St., New York, 11249, United States",11249,New York,295.0,295.0,USD,"Scandinavian, Contemporary",-73.9669769,40.7125069,-5200,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aska,https://www.askanyc.com/,2 MICHELIN Stars,295.0,NY,New York,Northeast,Scandinavian
59,Aquavit,"65 E. 55th St., New York, 10022, United States",10022,New York,78.0,155.0,USD,"Scandinavian, Contemporary",-73.97214,40.76078,-6406,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aquavit,https://www.aquavit.org/,2 MICHELIN Stars,116.5,NY,New York,Northeast,Scandinavian
60,Aquavit,"65 E. 55th St., New York, 10022, United States",10022,New York,78.0,155.0,USD,"Scandinavian, Contemporary",-73.97214,40.76078,-6406,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aquavit,https://www.aquavit.org/,2 MICHELIN Stars,116.5,NY,New York,Northeast,Scandinavian
344,Stockhome,"220 Western Ave., Petaluma, 94952, United States",94952,Petaluma,50.0,50.0,USD,Scandinavian,-122.6427194,38.2333616,-7785,https://guide.michelin.com/en/california/petaluma/restaurant/stockhome,https://www.stockhomerestaurant.com/,Bib Gourmand,50.0,CA,California,West,Scandinavian
345,Stockhome,"220 Western Ave., Petaluma, 94952, United States",94952,Petaluma,50.0,50.0,USD,Scandinavian,-122.6427194,38.2333616,-7785,https://guide.michelin.com/en/california/petaluma/restaurant/stockhome,https://www.stockhomerestaurant.com/,Bib Gourmand,50.0,CA,California,West,Scandinavian
