,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
363,Millennium,"5912 College Ave., Oakland, 94618, United States",94618,Oakland,50.0,50.0,USD,Vegan,-122.252075,37.847427,-8684,https://guide.michelin.com/en/california/oakland/restaurant/millennium,https://www.millenniumrestaurant.com/,Bib Gourmand,50.0,CA,California,West,Vegan
375,Mesa Verde,"1919 Cliff Dr., Santa Barbara, 93109, United States",93109,Santa Barbara,50.0,50.0,USD,"Vegan, Mexican",-119.7224482,34.4015115,-3632,https://guide.michelin.com/en/california/santa-barbara/restaurant/mesa-verde,https://www.mesaverderestaurant.com/,Bib Gourmand,50.0,CA,California,West,Vegan
637,Double Zero,"65 Second Ave., New York, 10003, United States",10003,New York,50.0,50.0,USD,Vegan,-73.98962,40.726025,-1173,https://guide.michelin.com/en/new-york-state/new-york/restaurant/double-zero,https://www.matthewkenneycuisine.com/,Bib Gourmand,50.0,NY,New York,Northeast,Vegan
638,Double Zero,"65 Second Ave., New York, 10003, United States",10003,New York,50.0,50.0,USD,Vegan,-73.98962,40.726025,-1173,https://guide.michelin.com/en/new-york-state/new-york/restaurant/double-zero,https://www.matthewkenneycuisine.com/,Bib Gourmand,50.0,NY,New York,Northeast,Vegan
