,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
588,Khe-Yo,"157 Duane St., New York, 10013, United States",10013,New York,40.0,60.0,USD,Lao,-74.00879,40.716835,-464,https://guide.michelin.com/en/new-york-state/new-york/restaurant/khe-yo,https://www.kheyo.com/,Bib Gourmand,50.0,NY,New York,Northeast,Lao
589,Khe-Yo,"157 Duane St., New York, 10013, United States",10013,New York,40.0,60.0,USD,Lao,-74.00879,40.716835,-464,https://guide.michelin.com/en/new-york-state/new-york/restaurant/khe-yo,https://www.kheyo.com/,Bib Gourmand,50.0,NY,New York,Northeast,Lao
752,Thip Khao,"3462 14th St. NW, Washington, 20010, United States",20010,Washington,50.0,50.0,USD,Lao,-77.032845,38.932957,-4611,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/thip-khao,https://www.thipkhao.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Lao
