,Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
459,West New Malaysia,"46-48 Bowery, New York, 10013, United States",10013,New York,20.0,25.0,USD,Malaysian,-73.9966263,40.715866,-36,https://guide.michelin.com/en/new-york-state/new-york/restaurant/new-malaysia,https://newmalaysiarestaurant.com/,Bib Gourmand,22.5,NY,New York,Northeast,Malaysian
460,West New Malaysia,"46-48 Bowery, New York, 10013, United States",10013,New York,20.0,25.0,USD,Malaysian,-73.9966263,40.715866,-36,https://guide.michelin.com/en/new-york-state/new-york/restaurant/new-malaysia,https://newmalaysiarestaurant.com/,Bib Gourmand,22.5,NY,New York,Northeast,Malaysian
543,Nyonya,"199 Grand St., New York, 10013, United States",10013,New York,25.0,25.0,USD,Malaysian,-73.9969395,40.7191602,-2791,https://guide.michelin.com/en/new-york-state/new-york/restaurant/nyonya,https://www.ilovenyonya.com/,Bib Gourmand,25.0,NY,New York,Northeast,Malaysian
544,Nyonya,"199 Grand St., New York, 10013, United States",10013,New York,25.0,25.0,USD,Malaysian,-73.9969395,40.7191602,-2791,https://guide.michelin.com/en/new-york-state/new-york/restaurant/nyonya,https://www.ilovenyonya.com/,Bib Gourmand,25.0,NY,New York,Northeast,Malaysian
784,Makan,"3400 11th St. NW, Washington, 20010, United States",20010,Washington,50.0,50.0,USD,Malaysian,-77.0284184,38.9318821,-1823,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/makan,https://www.makanrestaurantdc.com/,Bib Gourmand,50.0,DC,District of Columbia,South,Malaysian
